,intcpt,slp,rsq,resid.mean,resid.med,resid.prop.pos,source
(Intercept)668,8.43131072,0.336628858,0.030685033,4.811991081,3.95983838,0.726978998,Navajo Nation: Water
(Intercept)669,6.846792027,0.718421861,0.067219784,5.318521569,3.445103823,0.701130856,Navajo Nation: Water
(Intercept)670,7.642817086,0.562018583,0.041577148,5.30471006,3.840195724,0.717285945,Navajo Nation: Water
(Intercept)671,7.812751148,0.519765875,0.029464618,5.245563518,3.605756751,0.731825525,Navajo Nation: Water
(Intercept)672,7.933172726,0.436216744,0.046687648,4.926103733,3.819124467,0.704361874,Navajo Nation: Water
(Intercept)673,7.589679732,0.668238969,0.050042489,5.776408376,3.9824586,0.722132472,Navajo Nation: Water
(Intercept)674,7.530246758,0.50505101,0.056474147,4.899829337,3.913418485,0.71082391,Navajo Nation: Water
(Intercept)675,7.930067273,0.475869879,0.04971447,5.157955199,3.714830789,0.762520194,Navajo Nation: Water
(Intercept)676,8.433420657,0.332530302,0.038622975,4.71534903,3.739218116,0.722132472,Navajo Nation: Water
(Intercept)677,5.824661628,0.938265393,0.112573529,5.499998309,3.667545996,0.733441034,Navajo Nation: Water
(Intercept)678,7.419934525,0.609897379,0.035569652,5.324663448,4.172638078,0.712439418,Navajo Nation: Water
(Intercept)679,6.861542971,0.769872599,0.084591518,5.649312458,3.901879128,0.720516963,Navajo Nation: Water
(Intercept)680,8.327335789,0.494024387,0.031067804,5.538046197,4.16740716,0.723747981,Navajo Nation: Water
(Intercept)681,9.436808648,0.295117679,0.010404636,5.717840735,4.228149695,0.720516963,Navajo Nation: Water
(Intercept)682,8.101987478,0.379035788,0.036942948,4.758373842,4.203184527,0.722132472,Navajo Nation: Water
(Intercept)683,7.707116681,0.396801241,0.044818899,4.477670555,3.502609646,0.697899838,Navajo Nation: Water
(Intercept)684,6.502890246,0.730330398,0.065659419,5.0415672,3.112458955,0.714054927,Navajo Nation: Water
(Intercept)685,8.138394151,0.440600948,0.047607275,5.083269575,4.036622036,0.720516963,Navajo Nation: Water
(Intercept)686,7.506055014,0.486510325,0.040337461,4.752008108,3.571828178,0.707592892,Navajo Nation: Water
(Intercept)687,7.07209222,0.743646884,0.06342575,5.756737118,4.173033164,0.756058158,Navajo Nation: Water
(Intercept)688,7.998805521,0.427742225,0.047088363,4.873398015,3.643933911,0.697899838,Navajo Nation: Water
(Intercept)689,7.534917741,0.607743467,0.052034133,5.440819957,3.688232254,0.725363489,Navajo Nation: Water
(Intercept)690,8.554793743,0.364451223,0.021898767,5.014254605,3.484084953,0.715670436,Navajo Nation: Water
(Intercept)691,8.783550704,0.305168615,0.020175251,5.12009148,4.046266957,0.731825525,Navajo Nation: Water
(Intercept)692,7.628760434,0.55300755,0.059247689,5.221834435,4.052093677,0.726978998,Navajo Nation: Water
(Intercept)693,7.97534403,0.50204121,0.030023595,5.392347483,3.988078761,0.726978998,Navajo Nation: Water
(Intercept)694,6.86396833,0.702469813,0.080852804,5.259964157,3.772278363,0.71082391,Navajo Nation: Water
(Intercept)695,6.196943876,0.839951145,0.058069114,5.342467605,3.602112473,0.722132472,Navajo Nation: Water
(Intercept)696,7.915978021,0.509096402,0.036247453,5.312288086,4.082061921,0.705977383,Navajo Nation: Water
(Intercept)697,8.485148612,0.385463698,0.029710606,5.249203686,3.851658939,0.744749596,Navajo Nation: Water
(Intercept)698,6.896055802,0.70615819,0.068108803,5.300369366,4.166835632,0.735056543,Navajo Nation: Water
(Intercept)699,7.905533928,0.444951305,0.048367986,4.896926435,4.182343527,0.714054927,Navajo Nation: Water
(Intercept)700,7.542413008,0.524791568,0.039352304,5.050977649,3.849470828,0.717285945,Navajo Nation: Water
(Intercept)701,8.279996359,0.447882209,0.040933113,5.287311149,3.981806598,0.728594507,Navajo Nation: Water
(Intercept)702,7.197659505,0.564892062,0.066039036,4.847908031,3.514844963,0.714054927,Navajo Nation: Water
(Intercept)703,9.181849748,0.403046061,0.018329846,5.927003185,4.118642021,0.738287561,Navajo Nation: Water
(Intercept)704,6.500878323,0.73700918,0.072404761,5.096979437,3.856409997,0.720516963,Navajo Nation: Water
(Intercept)705,8.18854228,0.500593886,0.041892334,5.544369947,4.159792424,0.723747981,Navajo Nation: Water
(Intercept)706,8.157575119,0.54881775,0.04838314,5.757175398,4.240963839,0.718901454,Navajo Nation: Water
(Intercept)707,9.585353815,0.231221408,0.009512036,5.433231692,4.293543736,0.722132472,Navajo Nation: Water
(Intercept)708,7.50061045,0.629539125,0.049779978,5.538494637,4.021152029,0.720516963,Navajo Nation: Water
(Intercept)709,7.764560722,0.619334996,0.030732221,5.737388382,4.102425464,0.746365105,Navajo Nation: Water
(Intercept)710,7.12721471,0.602734224,0.10280392,5.050499679,4.272515016,0.747980614,Navajo Nation: Water
(Intercept)711,7.809585142,0.590394293,0.048843517,5.630790342,4.211970981,0.707592892,Navajo Nation: Water
(Intercept)712,7.919443476,0.574799996,0.051988906,5.607596874,3.896396727,0.728594507,Navajo Nation: Water
(Intercept)713,7.775107012,0.552592107,0.05204718,5.405323267,3.757262826,0.715670436,Navajo Nation: Water
(Intercept)714,8.02486493,0.438642659,0.033920877,5.018759187,3.79070473,0.71082391,Navajo Nation: Water
(Intercept)715,8.38386741,0.427106379,0.03357716,5.395276125,4.272896997,0.741518578,Navajo Nation: Water
(Intercept)716,7.915125336,0.52751962,0.047849343,5.380128789,4.1466748,0.733441034,Navajo Nation: Water
(Intercept)717,8.328347633,0.453168382,0.026701323,5.480143932,3.941016352,0.707592892,Navajo Nation: Water
(Intercept)718,8.017385936,0.373278311,0.027539075,4.704826669,3.596825379,0.715670436,Navajo Nation: Water
(Intercept)719,8.15588869,0.508843868,0.024133768,5.587360074,3.659607238,0.730210016,Navajo Nation: Water
(Intercept)720,8.258959824,0.357533021,0.026823802,4.745769919,3.375567687,0.701130856,Navajo Nation: Water
(Intercept)721,6.820193744,0.745577719,0.074649964,5.465766187,4.292229951,0.752827141,Navajo Nation: Water
(Intercept)722,8.536025435,0.458750397,0.041857654,5.658762737,4.381700059,0.738287561,Navajo Nation: Water
(Intercept)723,8.912042527,0.186333008,0.008148367,4.670420126,3.828513469,0.720516963,Navajo Nation: Water
(Intercept)724,9.679894441,0.079809896,0.001410894,4.846877185,3.974577771,0.733441034,Navajo Nation: Water
(Intercept)725,7.994858299,0.39924469,0.03688873,4.772346517,3.541811954,0.718901454,Navajo Nation: Water
(Intercept)726,6.818302095,0.762953227,0.070114596,5.497570801,4.11612076,0.725363489,Navajo Nation: Water
(Intercept)727,7.448749722,0.62030351,0.065184464,5.433394898,4.051438206,0.736672052,Navajo Nation: Water
(Intercept)728,7.578910208,0.590198177,0.070034423,5.450280499,3.772985695,0.743134087,Navajo Nation: Water
(Intercept)729,7.657070394,0.617827096,0.049522939,5.651188473,4.13377759,0.733441034,Navajo Nation: Water
(Intercept)730,8.351875874,0.493271832,0.039413594,5.663976308,4.00349625,0.730210016,Navajo Nation: Water
(Intercept)731,5.945977101,0.923855241,0.092342662,5.533350346,4.102862618,0.738287561,Navajo Nation: Water
(Intercept)732,6.497909214,0.902345425,0.068583289,5.972055909,3.961316335,0.725363489,Navajo Nation: Water
(Intercept)733,6.888821518,0.79700503,0.064868933,5.806615909,4.416772009,0.736672052,Navajo Nation: Water
(Intercept)734,8.343659231,0.393907855,0.038106281,5.075145847,4.038346461,0.723747981,Navajo Nation: Water
(Intercept)735,8.661994617,0.351788314,0.025205148,5.272485212,4.000875379,0.718901454,Navajo Nation: Water
(Intercept)736,7.803557483,0.614166385,0.067292062,5.775238463,3.945086971,0.744749596,Navajo Nation: Water
(Intercept)737,7.105619811,0.633369703,0.07443722,5.182007169,3.970499238,0.744749596,Navajo Nation: Water
(Intercept)738,8.023220225,0.542546454,0.037620867,5.547493778,3.889276256,0.709208401,Navajo Nation: Water
(Intercept)739,8.788800339,0.368801268,0.028787668,5.498945378,3.816123235,0.749596123,Navajo Nation: Water
(Intercept)740,8.146434185,0.531296539,0.04320026,5.664680082,3.59667899,0.705977383,Navajo Nation: Water
(Intercept)741,7.56033606,0.617649378,0.070089335,5.433323962,4.151162483,0.746365105,Navajo Nation: Water
(Intercept)742,6.755364921,0.792634705,0.082130374,5.653023711,4.024642682,0.736672052,Navajo Nation: Water
(Intercept)743,8.28026595,0.452053287,0.031731795,5.360121363,3.797935299,0.726978998,Navajo Nation: Water
(Intercept)744,8.868906341,0.27295268,0.014021787,4.962511886,3.889951618,0.726978998,Navajo Nation: Water
(Intercept)745,8.804263332,0.400255535,0.035127925,5.471954194,4.463609187,0.730210016,Navajo Nation: Water
(Intercept)746,8.038274215,0.349689488,0.029614387,4.554873623,3.924063188,0.722132472,Navajo Nation: Water
(Intercept)747,7.814604105,0.633206972,0.04988963,5.92438454,3.888560161,0.738287561,Navajo Nation: Water
(Intercept)748,7.330901483,0.678956169,0.043275742,5.593215254,3.840083914,0.712439418,Navajo Nation: Water
(Intercept)749,7.257031833,0.725304,0.058232271,5.801875595,3.871244345,0.733441034,Navajo Nation: Water
(Intercept)750,9.270937503,0.252994959,0.018163871,5.261315142,4.27328375,0.728594507,Navajo Nation: Water
(Intercept)751,8.450073809,0.422925494,0.024663258,5.386388142,3.905939001,0.731825525,Navajo Nation: Water
(Intercept)752,7.143365985,0.672900348,0.076016568,5.413210574,3.779879989,0.738287561,Navajo Nation: Water
(Intercept)753,8.319998839,0.437085698,0.025722368,5.389969121,4.012063232,0.718901454,Navajo Nation: Water
(Intercept)754,8.0520567,0.424104282,0.036992273,4.965468621,3.792289891,0.712439418,Navajo Nation: Water
(Intercept)755,8.615916253,0.374637666,0.029360503,5.14414474,3.752908399,0.739903069,Navajo Nation: Water
(Intercept)756,5.984527707,0.949607536,0.114920605,5.717434726,4.072653752,0.718901454,Navajo Nation: Water
(Intercept)757,8.1253692,0.464449454,0.033984796,5.237838209,3.544779679,0.709208401,Navajo Nation: Water
(Intercept)758,7.850562554,0.509078509,0.041086193,5.220201983,3.958604361,0.723747981,Navajo Nation: Water
(Intercept)759,7.126672134,0.712178787,0.053246626,5.625627487,4.075066894,0.736672052,Navajo Nation: Water
(Intercept)760,5.966187387,0.873202409,0.084369394,5.286395523,3.897052744,0.712439418,Navajo Nation: Water
