,intcpt,slp,rsq,resid.mean,resid.med,resid.prop.pos,source
(Intercept)1681,4.541649347,0.894074915,0.256705053,3.826565452,2.934473986,0.660743134,Navajo Nation: Water & home dust
(Intercept)1691,7.526091297,0.443417429,0.071636455,3.76868828,2.652304187,0.670436187,Navajo Nation: Water & home dust
(Intercept)1701,3.904104242,1.043736977,0.232688278,4.199365824,2.642850326,0.651050081,Navajo Nation: Water & home dust
(Intercept)1711,7.113703281,0.464641588,0.134859018,3.499581285,3.104334303,0.668820679,Navajo Nation: Water & home dust
(Intercept)1721,9.60827758,0.093065001,0.002576378,3.485699406,2.846514052,0.673667205,Navajo Nation: Water & home dust
(Intercept)1731,5.29866863,0.835953898,0.191032943,4.191218719,2.667602642,0.654281099,Navajo Nation: Water & home dust
(Intercept)1741,5.127756128,0.836059342,0.225519705,4.021018053,2.811713528,0.678513732,Navajo Nation: Water & home dust
(Intercept)1751,5.734756213,0.731856727,0.172844438,3.924562372,2.829652103,0.630048465,Navajo Nation: Water & home dust
(Intercept)1761,2.392770092,1.304970712,0.255722107,4.451580287,2.675447349,0.670436187,Navajo Nation: Water & home dust
(Intercept)1771,6.627584768,0.519871666,0.12511653,3.386312501,2.830162158,0.651050081,Navajo Nation: Water & home dust
(Intercept)1781,7.204048141,0.471132484,0.126883639,3.633745185,2.642454821,0.659127625,Navajo Nation: Water & home dust
(Intercept)1791,5.749776086,0.794568789,0.188259079,4.362941695,3.133395604,0.672051696,Navajo Nation: Water & home dust
(Intercept)1801,6.458576199,0.668054939,0.104182646,4.217666333,2.638424385,0.668820679,Navajo Nation: Water & home dust
(Intercept)1811,3.861106858,1.020166953,0.253193935,3.997250846,3.072430371,0.662358643,Navajo Nation: Water & home dust
(Intercept)1821,4.531919968,1.012447744,0.211155966,4.615952768,3.257894492,0.691437803,Navajo Nation: Water & home dust
(Intercept)1831,5.240052644,0.782370305,0.219308113,3.770868172,2.497823039,0.66720517,Navajo Nation: Water & home dust
(Intercept)1841,6.544645678,0.614068163,0.130308819,3.939279422,2.803178921,0.670436187,Navajo Nation: Water & home dust
(Intercept)1851,2.595757228,1.203554446,0.266557737,3.969921872,2.552948951,0.646203554,Navajo Nation: Water & home dust
