"","intcpt","slp","rsq","scen"
"(Intercept)910",158.745582958048,0.564687994275516,0.247827174909339,"HEALS primary water only"
"(Intercept)911",160.694714749707,0.553650013980635,0.249559694713207,"HEALS primary water only"
"(Intercept)912",160.644125964959,0.558053643571827,0.246888525355726,"HEALS primary water only"
"(Intercept)913",162.499007963555,0.556863202986986,0.240402894312526,"HEALS primary water only"
"(Intercept)914",161.257163045917,0.554052042310452,0.245869273515752,"HEALS primary water only"
"(Intercept)915",165.644858775639,0.541950274537405,0.234493916479043,"HEALS primary water only"
"(Intercept)916",162.247568569155,0.553955883132973,0.24103153807443,"HEALS primary water only"
"(Intercept)917",157.487984648108,0.563385376887565,0.253330039239959,"HEALS primary water only"
"(Intercept)918",164.126113964865,0.549950740614899,0.238072892658924,"HEALS primary water only"
"(Intercept)919",161.892899388989,0.552232503343542,0.245207144241629,"HEALS primary water only"
"(Intercept)920",162.004676129238,0.553702963513923,0.250240693448772,"HEALS primary water only"
"(Intercept)921",164.294907858382,0.543537346984579,0.240423012967192,"HEALS primary water only"
"(Intercept)922",163.452451501362,0.549625192457726,0.246330018139155,"HEALS primary water only"
"(Intercept)923",161.865279175752,0.548774117086662,0.250947432482634,"HEALS primary water only"
"(Intercept)924",162.33519598177,0.55063024872678,0.242040533750042,"HEALS primary water only"
"(Intercept)925",163.706177074244,0.542699930765372,0.249036244800616,"HEALS primary water only"
"(Intercept)926",163.957131665285,0.543419122973791,0.245237907469794,"HEALS primary water only"
"(Intercept)927",163.461562541983,0.555281228180902,0.24437553719416,"HEALS primary water only"
"(Intercept)928",159.972541030441,0.558634812690169,0.247058007586205,"HEALS primary water only"
"(Intercept)929",161.444628107221,0.549404487965141,0.245249749368447,"HEALS primary water only"
"(Intercept)930",161.265935083533,0.555342376116303,0.242682074532081,"HEALS primary water only"
"(Intercept)931",161.972773925856,0.546014547185246,0.247595615447557,"HEALS primary water only"
"(Intercept)932",162.185237887518,0.552263015373105,0.245332332018301,"HEALS primary water only"
"(Intercept)933",159.439496044344,0.565228420863688,0.242597504236577,"HEALS primary water only"
"(Intercept)934",159.590237284912,0.556843221986505,0.24630223011693,"HEALS primary water only"
"(Intercept)935",160.475676875467,0.5616435423143,0.253139174018165,"HEALS primary water only"
"(Intercept)936",162.955601789288,0.55247822629636,0.247491812975689,"HEALS primary water only"
"(Intercept)937",162.84449002447,0.548706719105979,0.242663729960817,"HEALS primary water only"
"(Intercept)938",157.479002859089,0.559898952713327,0.253140660307766,"HEALS primary water only"
"(Intercept)939",160.505382572488,0.557023751443896,0.247258750209485,"HEALS primary water only"
"(Intercept)940",161.25263264022,0.554457438250268,0.243266473433187,"HEALS primary water only"
"(Intercept)941",161.596223926205,0.55618474019056,0.246751718237589,"HEALS primary water only"
"(Intercept)942",164.369676078677,0.552990433705357,0.23927774272382,"HEALS primary water only"
"(Intercept)943",159.210525426538,0.566365733611355,0.243138675643514,"HEALS primary water only"
"(Intercept)944",163.070018246831,0.556007034152363,0.243718129631523,"HEALS primary water only"
"(Intercept)945",164.340953394056,0.542446611383947,0.243274325731768,"HEALS primary water only"
"(Intercept)946",162.565599298735,0.550885073791834,0.242338589690594,"HEALS primary water only"
"(Intercept)947",163.80418347665,0.547523635380703,0.241673437757214,"HEALS primary water only"
"(Intercept)948",162.937347684847,0.549348651475391,0.241315075628723,"HEALS primary water only"
"(Intercept)949",160.069779177042,0.561429734329989,0.248733687213748,"HEALS primary water only"
"(Intercept)950",158.979180534387,0.565157926994582,0.245896517722544,"HEALS primary water only"
"(Intercept)951",160.626381225416,0.558315579172262,0.245804842189863,"HEALS primary water only"
"(Intercept)952",161.121521849345,0.551509562411063,0.247214719551446,"HEALS primary water only"
"(Intercept)953",160.364398222297,0.555976555522646,0.247443874636437,"HEALS primary water only"
"(Intercept)954",157.470993950133,0.565616070272115,0.248515785722905,"HEALS primary water only"
"(Intercept)955",161.244450722586,0.551683028882812,0.244293458870972,"HEALS primary water only"
"(Intercept)956",163.973189781987,0.538458992635985,0.241680939042497,"HEALS primary water only"
"(Intercept)957",161.273074343155,0.551624299660083,0.246503649484223,"HEALS primary water only"
"(Intercept)958",162.309843037373,0.556372677071613,0.246063881464353,"HEALS primary water only"
"(Intercept)959",161.680683097313,0.549860830493004,0.243785637148163,"HEALS primary water only"
"(Intercept)960",162.063781414181,0.555221566966502,0.24009448199771,"HEALS primary water only"
"(Intercept)961",163.858224521416,0.545906816765106,0.243644422836143,"HEALS primary water only"
"(Intercept)962",159.219177547367,0.556618305262056,0.252238942071345,"HEALS primary water only"
"(Intercept)963",158.948566686968,0.564936563081287,0.249613937760239,"HEALS primary water only"
"(Intercept)964",159.318001589481,0.561029353332549,0.241888315325431,"HEALS primary water only"
"(Intercept)965",159.703624310385,0.556735590739898,0.249175002862954,"HEALS primary water only"
"(Intercept)966",161.725046547145,0.5524665566842,0.250015627031294,"HEALS primary water only"
"(Intercept)967",160.589745130477,0.550593159323951,0.245890635563857,"HEALS primary water only"
"(Intercept)968",160.255622299919,0.561787418505121,0.242735052392877,"HEALS primary water only"
"(Intercept)969",160.776347014805,0.556550232466104,0.245987703319491,"HEALS primary water only"
"(Intercept)970",158.571123734917,0.562926313771483,0.251409645491157,"HEALS primary water only"
"(Intercept)971",162.298818787102,0.553012081604447,0.242501407108177,"HEALS primary water only"
"(Intercept)972",159.69654161576,0.565492709848153,0.243288467456945,"HEALS primary water only"
"(Intercept)973",162.086616515915,0.550553287069693,0.239761419103854,"HEALS primary water only"
"(Intercept)974",159.991946400404,0.562173649103087,0.247548985124584,"HEALS primary water only"
"(Intercept)975",161.565765520623,0.55003606723707,0.245837263379396,"HEALS primary water only"
"(Intercept)976",161.496944550632,0.56191356232349,0.248048530157763,"HEALS primary water only"
"(Intercept)977",160.026948857184,0.547242399295225,0.246854659125249,"HEALS primary water only"
"(Intercept)978",160.17014463086,0.554464872760943,0.24516135450996,"HEALS primary water only"
"(Intercept)979",162.469101835209,0.54799045330686,0.246806098767898,"HEALS primary water only"
"(Intercept)980",163.666980699346,0.547953881876076,0.238567194899376,"HEALS primary water only"
"(Intercept)981",159.402600404285,0.565437120825779,0.251903632211138,"HEALS primary water only"
"(Intercept)982",165.153851301751,0.546434474384167,0.239877663789771,"HEALS primary water only"
"(Intercept)983",161.293301375474,0.550784848444806,0.24722855140042,"HEALS primary water only"
"(Intercept)984",161.420542694962,0.559806010095793,0.246776964426065,"HEALS primary water only"
"(Intercept)985",160.613152897916,0.553279477281472,0.246077328008326,"HEALS primary water only"
"(Intercept)986",159.038101996642,0.560203196214634,0.249266749714931,"HEALS primary water only"
"(Intercept)987",161.474630870993,0.558072925930706,0.244055773628575,"HEALS primary water only"
"(Intercept)988",162.390550812956,0.553527602025662,0.243559771288589,"HEALS primary water only"
"(Intercept)989",164.03881631799,0.542037509299192,0.237593254646154,"HEALS primary water only"
"(Intercept)990",162.132246332069,0.551143203021346,0.251118411474276,"HEALS primary water only"
"(Intercept)991",161.082916930777,0.550845083390339,0.243395192923771,"HEALS primary water only"
"(Intercept)992",161.079607054382,0.557934593475344,0.248424372350692,"HEALS primary water only"
"(Intercept)993",161.825875653099,0.553000908264293,0.246440159101956,"HEALS primary water only"
"(Intercept)994",159.608848750643,0.560586892182396,0.251185855217225,"HEALS primary water only"
"(Intercept)995",162.197688446632,0.550237249338149,0.241703014518688,"HEALS primary water only"
"(Intercept)996",163.347054103825,0.547713081413753,0.242599256880799,"HEALS primary water only"
"(Intercept)997",163.176278054975,0.54855174539892,0.241475935919919,"HEALS primary water only"
"(Intercept)998",160.130091863386,0.55072213219102,0.250768570332803,"HEALS primary water only"
"(Intercept)999",161.17040109727,0.554645023100349,0.246665994257925,"HEALS primary water only"
"(Intercept)1000",97.2391573307162,0.778666352958855,0.24184389699822,"HEALS primary + secondary water"
"(Intercept)1100",96.5403193073137,0.780706224513194,0.24106308770419,"HEALS primary + secondary water"
"(Intercept)2100",93.4234220356574,0.795999258534942,0.234884903153504,"HEALS primary + secondary water"
"(Intercept)3100",94.8323454015745,0.787580877533929,0.241252104232567,"HEALS primary + secondary water"
"(Intercept)4100",95.9680643459226,0.789961642182938,0.238223203162533,"HEALS primary + secondary water"
"(Intercept)5100",92.8777337621964,0.793632499031114,0.238910083374017,"HEALS primary + secondary water"
"(Intercept)6100",92.4433562998673,0.796291589466852,0.247187157175931,"HEALS primary + secondary water"
"(Intercept)7100",97.4884874213425,0.783505490244448,0.243459726284378,"HEALS primary + secondary water"
