,Intercept,Slope,vector_MCresSE,vector_rsquare,scen
288,6.943973106,1.175626602,27.67755581,0.123363591,UNM water only
289,7.907638708,1.070885778,26.40416566,0.113160092,UNM water only
290,10.93737336,0.587162112,20.65766421,0.061642749,UNM water only
291,7.339796341,1.119802635,27.65130206,0.124239183,UNM water only
292,7.541034787,1.128481612,26.95046018,0.114720722,UNM water only
293,7.753560739,1.082148287,26.10517302,0.110810047,UNM water only
294,6.519428748,1.280728948,28.03265581,0.131892159,UNM water only
295,9.290373638,0.785428975,22.12477634,0.093448007,UNM water only
296,7.869259,1.061044453,27.17373482,0.106030115,UNM water only
297,9.286427891,0.869511001,24.6213521,0.08544499,UNM water only
298,9.674019266,0.790973689,24.46558737,0.077665913,UNM water only
299,6.938123793,1.212726886,30.22296912,0.132536726,UNM water only
300,10.48472521,0.649121546,20.28793441,0.073412359,UNM water only
301,7.429538841,1.161274912,29.47062572,0.119833336,UNM water only
302,6.180615346,1.326022553,29.14903437,0.164000599,UNM water only
303,10.21171396,0.737592527,22.13291361,0.079556257,UNM water only
304,4.778859117,1.536636157,33.88289137,0.15603422,UNM water only
305,2.747147406,1.893375839,33.08549168,0.207708099,UNM water only
306,8.634242173,0.923029145,24.26707663,0.101962572,UNM water only
307,7.871614923,1.048126463,24.99392075,0.113995204,UNM water only
308,7.852285349,1.132751949,28.66668218,0.102989004,UNM water only
309,7.741898592,1.081029664,26.94211062,0.118273788,UNM water only
310,7.73490239,1.08682104,26.17386823,0.119245481,UNM water only
311,6.314991238,1.315687402,31.48452517,0.128524444,UNM water only
312,9.167385732,0.867625217,26.11219385,0.09201396,UNM water only
313,9.10139142,0.812274578,25.30306657,0.0786436,UNM water only
314,6.545660578,1.290256873,27.59187218,0.138198741,UNM water only
315,7.743112122,1.087022644,27.86989417,0.113745596,UNM water only
316,9.444302306,0.891933832,26.2487063,0.091329132,UNM water only
317,10.26609815,0.702714489,22.22648065,0.079906463,UNM water only
318,9.647931976,0.797277277,22.85105846,0.093352364,UNM water only
319,10.44362649,0.619622072,20.35427587,0.065348008,UNM water only
320,8.444074374,0.966833312,26.78175901,0.104951073,UNM water only
321,8.415854743,0.972879645,25.50384655,0.107125202,UNM water only
322,9.834738545,0.763658251,22.94662586,0.080751835,UNM water only
323,7.742439644,1.1017397,27.13286266,0.116039241,UNM water only
324,10.41673869,0.700962499,22.86398863,0.070634626,UNM water only
325,8.456294278,0.967922616,25.7737879,0.097117447,UNM water only
326,8.785101476,0.882739045,25.7366534,0.092102698,UNM water only
327,8.623360644,0.977792082,24.69765413,0.103093795,UNM water only
328,8.562365854,1.040757184,26.78922619,0.096597471,UNM water only
329,9.684995905,0.80560285,23.65055167,0.091984437,UNM water only
330,11.19712412,0.54020114,20.315387,0.054883482,UNM water only
331,9.269356309,0.848868928,23.09169082,0.094227967,UNM water only
332,9.170818805,0.873289209,24.65528834,0.096198932,UNM water only
333,9.094658023,0.872966889,25.05981778,0.089173653,UNM water only
334,6.26827873,1.347026232,30.23610705,0.130759896,UNM water only
335,9.480662615,0.815745149,22.80556511,0.084464585,UNM water only
336,8.12200361,1.049976946,25.74800005,0.119163325,UNM water only
337,8.526266834,0.975935854,23.80140525,0.103277017,UNM water only
338,5.758362351,1.335865768,28.95014296,0.148527229,UNM water only
339,8.588059919,0.983152607,27.37937256,0.096556046,UNM water only
340,9.975946749,0.709380799,20.31329043,0.082666059,UNM water only
341,7.71622573,1.106419815,27.05097648,0.106599987,UNM water only
342,8.335903188,0.954327749,24.62285913,0.103139153,UNM water only
343,10.37727604,0.679180821,21.26610129,0.067621821,UNM water only
344,8.464996831,0.933879035,23.68683084,0.100098923,UNM water only
345,7.925373587,1.034673043,27.02722825,0.103267894,UNM water only
346,8.860291485,0.932133895,24.61887835,0.103468034,UNM water only
347,8.683137635,0.945829905,25.36699828,0.09781143,UNM water only
348,5.393529859,1.476641474,29.19254246,0.166264287,UNM water only
349,6.880367374,1.214481497,27.730265,0.132140278,UNM water only
350,7.596587888,1.113328835,27.1723804,0.127365277,UNM water only
351,7.485384134,1.185689394,27.85448081,0.126854959,UNM water only
352,7.427283825,1.090845626,26.18776128,0.127343616,UNM water only
353,9.963292449,0.77278716,23.82521996,0.080018609,UNM water only
354,10.14005673,0.746572315,25.18233161,0.069003225,UNM water only
355,8.615172752,1.001695381,27.33433252,0.101602606,UNM water only
356,8.112644994,1.003730398,26.88223415,0.105772469,UNM water only
357,9.530807983,0.828466256,23.20322852,0.083968569,UNM water only
358,4.559058502,1.55409197,33.526862,0.166668094,UNM water only
359,8.024903852,1.027647336,25.36497938,0.106900584,UNM water only
360,8.948035526,0.932530328,27.24528389,0.092908487,UNM water only
361,12.0345572,0.377194974,17.4369926,0.036285826,UNM water only
362,5.092729736,1.471390057,31.9823541,0.162024596,UNM water only
363,10.52837702,0.642378592,22.23638176,0.056390478,UNM water only
364,5.721000811,1.443255173,29.25935631,0.147259324,UNM water only
365,8.425003774,1.016549611,26.57206635,0.103762513,UNM water only
366,11.32282139,0.513732781,21.28080154,0.039288173,UNM water only
367,7.838941145,1.074716486,25.5929929,0.106981475,UNM water only
368,7.800308735,1.076057357,26.11875031,0.112791709,UNM water only
369,3.480730373,1.716062841,30.75400091,0.191159074,UNM water only
370,7.45924413,1.15702054,27.67668559,0.121678741,UNM water only
371,8.307185482,1.02178811,26.13636627,0.0957683,UNM water only
372,8.477428416,0.937749377,25.52704656,0.101687518,UNM water only
373,9.504864926,0.833143676,24.43480786,0.086306397,UNM water only
374,8.737712372,0.911369349,25.19000452,0.105829133,UNM water only
375,6.756345533,1.254313899,28.97386051,0.143769621,UNM water only
376,7.880221983,1.076646616,27.20907237,0.119140383,UNM water only
377,7.943149197,1.013939775,24.87434169,0.115806235,UNM water only
378,7.853573557,1.088801941,25.43613604,0.116246324,UNM water only
379,7.355646903,1.104455183,25.84289442,0.126027278,UNM water only
380,8.791494781,0.971809628,26.1066937,0.109510661,UNM water only
381,8.485156868,1.00090908,27.97985447,0.090640883,UNM water only
382,7.966808025,1.099864439,25.98893212,0.112468904,UNM water only
383,9.417926721,0.763851302,22.887454,0.08837422,UNM water only
384,8.642215146,0.928126131,24.56436724,0.102238164,UNM water only
385,7.419049348,1.132243249,27.38232822,0.116119844,UNM water only
386,9.167277989,0.863243663,25.54982586,0.088231795,UNM water only
387,8.680348097,0.987371893,27.20518112,0.108500378,UNM water only
388,7.645410394,1.096235361,24.89023296,0.11598567,UNM water only
389,8.333835463,0.994453984,26.1336909,0.100342435,UNM water only
390,9.143064466,0.89749368,24.42777585,0.091345867,UNM water only
391,7.541782467,1.147023681,26.39993184,0.134084205,UNM water only
392,6.155966952,1.255320323,27.1357408,0.149685349,UNM water only
393,8.235972331,1.043457826,27.21756269,0.105093433,UNM water only
394,10.76701855,0.612295699,20.93247591,0.060402807,UNM water only
395,8.371344043,0.942671843,25.0042107,0.103668234,UNM water only
396,10.88412544,0.603928503,20.93764593,0.059602365,UNM water only
